sentence,keys,id
['nước Việt nam'],['nước Việt nam'],['000081']
['không cho'],['không cho'],['000082']
['nước Việt nam'],['nước Việt nam'],['000083']
['không cho'],['không cho'],['000084']
['nước Việt nam'],['nước Việt nam'],['000085']
['không cho'],['không cho'],['000086']
['Oa-sinh-tơn'],['Oa-sinh-tơn'],['000087']
['không cần'],['không cần'],['000088']
['óc'],['óc'],['000089']
['không nên'],['không nên'],['000090']
['ô ăn quan'],['ô ăn quan'],['000091']
['không nên'],['không nên'],['000092']
['ô nhiễm'],['ô nhiễm'],['000093']
['không nên'],['không nên'],['000094']
['ốm đau'],['ốm đau'],['000095']
['bực mình'],['bực mình'],['000096']
['ôn luyện'],['ôn luyện'],['000097']
['tự giác'],['tự giác'],['000098']
['ôn tập'],['ôn tập'],['000099']
['mù chữ'],['mù chữ'],['000100']
['ổn định'],['ổn định'],['000101']
['Tết hàn thực'],['Tết hàn thực'],['000102']
['ông già'],['ông già'],['000103']
['giỗ'],['giỗ'],['000104']
['tuần lễ người Điếc thế giới'],['tuần lễ người Điếc thế giới'],['000105']
['ông ngoại'],['ông ngoại'],['000106']
['ngày của Mẹ'],['ngày của Mẹ'],['000107']
['ông ngoại'],['ông ngoại'],['000108']
['ngày của Cha'],['ngày của Cha'],['000109']
['ông ngoại'],['ông ngoại'],['000110']
['ngày của Cha'],['ngày của Cha'],['000111']
['ông nội'],['ông nội'],['000112']
['ngày của Cha'],['ngày của Cha'],['000113']
['ông nội'],['ông nội'],['000114']
['ngày thầy thuốc Việt Nam'],['ngày thầy thuốc Việt Nam'],['000115']
['ông nội'],['ông nội'],['000116']
['ngày thầy thuốc Việt Nam'],['ngày thầy thuốc Việt Nam'],['000117']
['ống nghe'],['ống nghe'],['000118']
['ngày thầy thuốc Việt Nam'],['ngày thầy thuốc Việt Nam'],['000119']
['ống nhòm'],['ống nhòm'],['000120']
['ngày thành lập quân đội nhân dân Việt Nam'],['ngày thành lập quân đội nhân dân Việt Nam'],['000121']
['ống nước'],['ống nước'],['000122']
['ngày thành lập quân đội nhân dân Việt Nam'],['ngày thành lập quân đội nhân dân Việt Nam'],['000123']
['ở ngoài'],['ở ngoài'],['000124']
['ngày thành lập quân đội nhân dân Việt Nam'],['ngày thành lập quân đội nhân dân Việt Nam'],['000125']
['ở ngoài'],['ở ngoài'],['000126']
['con cá sấu'],['con cá sấu'],['000127']
['ở ngoài'],['ở ngoài'],['000128']
['nhầm'],['nhầm'],['000129']
['pha cà phê'],['pha cà phê'],['000130']
['nhầm'],['nhầm'],['000131']
['pha chế'],['pha chế'],['000132']
['nhầm'],['nhầm'],['000133']
['pha lê'],['pha lê'],['000134']
['buồn thảm'],['buồn thảm'],['000135']
['phà'],['phà'],['000136']
['mách'],['mách'],['000137']
['phá'],['phá'],['000138']
['mách'],['mách'],['000139']
['phá'],['phá'],['000140']
['mách'],['mách'],['000141']
['phá'],['phá'],['000142']
['phản bội'],['phản bội'],['000143']
['vô duyên'],['vô duyên'],['000144']
['phản bội'],['phản bội'],['000145']
['vô duyên'],['vô duyên'],['000146']
['phản bội'],['phản bội'],['000147']
['vô duyên'],['vô duyên'],['000148']
['phản động'],['phản động'],['000149']
['ti hí mắt'],['ti hí mắt'],['000150']
['kịp thời'],['kịp thời'],['000151']
['phản xạ'],['phản xạ'],['000152']
['bối rối'],['bối rối'],['000153']
['phao'],['phao'],['000154']
['hú vía'],['hú vía'],['000155']
['pháo hoa'],['pháo hoa'],['000156']
['pháo sáng'],['pháo sáng'],['000157']
['suỵt'],['suỵt'],['000158']
['phát biểu'],['phát biểu'],['000159']
['suýt'],['suýt'],['000160']
['phát động'],['phát động'],['000161']
['suýt'],['suýt'],['000162']
['phân số'],['phân số'],['000163']
['suýt'],['suýt'],['000164']
['cá voi'],['cá voi'],['000165']
['hai phân số bằng nhau'],['hai phân số bằng nhau'],['000166']
['cá kiếm'],['cá kiếm'],['000167']
['phân số thập phân'],['phân số thập phân'],['000168']
['phân số tối giản'],['phân số tối giản'],['000169']
['đuôi cá'],['đuôi cá'],['000170']
['phân tích'],['phân tích'],['000171']
['đuôi chuột'],['đuôi chuột'],['000172']
['bít tết (bò)'],['bít tết (bò)'],['000173']
['giữ nguyên'],['giữ nguyên'],['000174']
['phần trăm'],['phần trăm'],['000175']
['súp lơ'],['súp lơ'],['000176']
['mỳ tôm'],['mỳ tôm'],['000177']
['phấn (viết bảng)'],['phấn (viết bảng)'],['000178']
['mỳ tôm'],['mỳ tôm'],['000179']
['phấn (viết bảng)'],['phấn (viết bảng)'],['000180']
['mỳ tôm'],['mỳ tôm'],['000181']
['phấn (viết bảng)'],['phấn (viết bảng)'],['000182']
['mỳ vằn thắn'],['mỳ vằn thắn'],['000183']
['phấn đấu'],['phấn đấu'],['000184']
['mỳ ý'],['mỳ ý'],['000185']
['phấn trang điểm'],['phấn trang điểm'],['000186']
['mỳ ý'],['mỳ ý'],['000187']
['phấp phới'],['phấp phới'],['000188']
['mỳ ý'],['mỳ ý'],['000189']
['phật (tượng)'],['phật (tượng)'],['000190']
['bún mắm'],['bún mắm'],['000191']
['phép mầu'],['phép mầu'],['000192']
['bún chả'],['bún chả'],['000193']
['phép tính'],['phép tính'],['000194']
['bún ngan'],['bún ngan'],['000195']
['phê bình'],['phê bình'],['000196']
['bún ốc'],['bún ốc'],['000197']
['phi tiêu'],['phi tiêu'],['000198']
['bún đậu'],['bún đậu'],['000199']
['phích nước'],['phích nước'],['000200']
['phiên dịch'],['phiên dịch'],['000201']
['xôi gấc'],['xôi gấc'],['000202']
['phiên dịch'],['phiên dịch'],['000203']
['xôi gà'],['xôi gà'],['000204']
['cháo sườn'],['cháo sườn'],['000205']
['phiên dịch'],['phiên dịch'],['000206']
['cơm rang'],['cơm rang'],['000207']
['Phi-líp-pin (nước Phi-líp-pin)'],['Phi-líp-pin (nước Phi-líp-pin)'],['000208']
['cắm trại'],['cắm trại'],['000209']
['Phi-líp-pin (nước Phi-líp-pin)'],['Phi-líp-pin (nước Phi-líp-pin)'],['000210']
['khả năng'],['khả năng'],['000211']
['Phi-líp-pin (nước Phi-líp-pin)'],['Phi-líp-pin (nước Phi-líp-pin)'],['000212']
['kỹ năng'],['kỹ năng'],['000213']
['phim hoạt hình'],['phim hoạt hình'],['000214']
['cung cấp'],['cung cấp'],['000215']
['phim hoạt hình'],['phim hoạt hình'],['000216']
['khờ dại'],['khờ dại'],['000217']
['phim hoạt hình'],['phim hoạt hình'],['000218']
['cực khổ'],['cực khổ'],['000219']
['phim tài liệu'],['phim tài liệu'],['000220']
['may mắn'],['may mắn'],['000221']
['phim truyện'],['phim truyện'],['000222']
['phim truyện'],['phim truyện'],['000223']
['từ chối'],['từ chối'],['000224']
['phim truyện'],['phim truyện'],['000225']
['từ chối'],['từ chối'],['000226']
['phong bì'],['phong bì'],['000227']
['từ chối'],['từ chối'],['000228']
['nấu nướng'],['nấu nướng'],['000229']
['phong cách'],['phong cách'],['000230']
['phong kiến'],['phong kiến'],['000231']
['xoa đầu'],['xoa đầu'],['000232']
['phong trào'],['phong trào'],['000233']
['rực rỡ'],['rực rỡ'],['000234']
['phong tục'],['phong tục'],['000235']
['thiệp sinh nhật'],['thiệp sinh nhật'],['000236']
['phòng âm nhạc'],['phòng âm nhạc'],['000237']
['thiệp sinh nhật'],['thiệp sinh nhật'],['000238']
['phòng bệnh'],['phòng bệnh'],['000239']
['thiệp sinh nhật'],['thiệp sinh nhật'],['000240']
['bánh tráng'],['bánh tráng'],['000241']
['phòng chống'],['phòng chống'],['000242']
['phòng chức năng'],['phòng chức năng'],['000243']
['tương ớt'],['tương ớt'],['000244']
['phòng đa năng'],['phòng đa năng'],['000245']
['tương ớt'],['tương ớt'],['000246']
['phòng học tin học'],['phòng học tin học'],['000247']
['tương ớt'],['tương ớt'],['000248']
['không có'],['không có'],['000249']
['phòng máy tính'],['phòng máy tính'],['000250']
['không có chi'],['không có chi'],['000251']
['phòng mĩ thuật'],['phòng mĩ thuật'],['000252']
['dân chủ'],['dân chủ'],['000253']
['phòng thí nghiệm'],['phòng thí nghiệm'],['000254']
['phòng thư viện'],['phòng thư viện'],['000255']
['xử lý'],['xử lý'],['000256']
['phòng y tế'],['phòng y tế'],['000257']
['đất ruộng'],['đất ruộng'],['000258']
['phô tô'],['phô tô'],['000259']
['tinh mắt'],['tinh mắt'],['000260']
['kia'],['kia'],['000261']
['phổ biến'],['phổ biến'],['000262']
['nóng tính'],['nóng tính'],['000263']
['phố'],['phố'],['000264']
['căm thù'],['căm thù'],['000265']
['phố cổ'],['phố cổ'],['000266']
['không đẹp'],['không đẹp'],['000267']
['phố cổ Hội an'],['phố cổ Hội an'],['000268']
['không đẹp'],['không đẹp'],['000269']
['phổi'],['phổi'],['000270']
['không đẹp'],['không đẹp'],['000271']
['phở cuốn'],['phở cuốn'],['000272']
['chúng tôi (2 người) (đại từ)'],['chúng tôi (2 người) (đại từ)'],['000273']
['phở cuốn'],['phở cuốn'],['000274']
['chúng tôi (3 người) (đại từ)'],['chúng tôi (3 người) (đại từ)'],['000275']
['phở cuốn'],['phở cuốn'],['000276']
['chúng tôi (4 người) (đại từ)'],['chúng tôi (4 người) (đại từ)'],['000277']
['phơi quần áo'],['phơi quần áo'],['000278']
['chúng tôi (5 người) (đại từ)'],['chúng tôi (5 người) (đại từ)'],['000279']
['phù hợp'],['phù hợp'],['000280']
['chúng tôi (đại từ)'],['chúng tôi (đại từ)'],['000281']
['phủ nhận'],['phủ nhận'],['000282']
['các bạn (2 người)'],['các bạn (2 người)'],['000283']
['Phú Thọ'],['Phú Thọ'],['000284']
['họ (2 người) (đại từ)'],['họ (2 người) (đại từ)'],['000285']
['phụ huynh'],['phụ huynh'],['000286']
['họ (đại từ)'],['họ (đại từ)'],['000287']
['phục hồi'],['phục hồi'],['000288']
['bạn yêu tôi'],['bạn yêu tôi'],['000289']
['phục vụ'],['phục vụ'],['000290']
['phun nước'],['phun nước'],['000291']
['tôi yêu bạn ấy'],['tôi yêu bạn ấy'],['000292']
['bạn ấy yêu tôi'],['bạn ấy yêu tôi'],['000293']
['phức tạp'],['phức tạp'],['000294']
['bạn yêu bạn ấy'],['bạn yêu bạn ấy'],['000295']
['phương hướng'],['phương hướng'],['000296']
['bạn ấy yêu bạn'],['bạn ấy yêu bạn'],['000297']
['phương pháp'],['phương pháp'],['000298']
"['anh hai, anh cả']","['anh hai, anh cả']",['000299']
['phương tiện'],['phương tiện'],['000300']
"['anh hai, anh cả']","['anh hai, anh cả']",['000301']
['phương tiện giao thông'],['phương tiện giao thông'],['000302']
"['anh hai, anh cả']","['anh hai, anh cả']",['000303']
['phương tiện giao thông'],['phương tiện giao thông'],['000304']
"['chị hai, chị cả']","['chị hai, chị cả']",['000305']
['quả bầu'],['quả bầu'],['000306']
"['chị hai, chị cả']","['chị hai, chị cả']",['000307']
['quả bưởi'],['quả bưởi'],['000308']
"['chị hai, chị cả']","['chị hai, chị cả']",['000309']
['quả bưởi'],['quả bưởi'],['000310']
['quả bưởi'],['quả bưởi'],['000311']
['quả bầu hồ lô'],['quả bầu hồ lô'],['000312']
['một là'],['một là'],['000313']
['quả cam'],['quả cam'],['000314']
['hai là'],['hai là'],['000315']
['quả chanh'],['quả chanh'],['000316']
['ba là'],['ba là'],['000317']
['quả chôm chôm'],['quả chôm chôm'],['000318']
['quả chuối'],['quả chuối'],['000319']
['ông bà'],['ông bà'],['000320']
['quả dưa hấu'],['quả dưa hấu'],['000321']
['ông bà'],['ông bà'],['000322']
['chị họ'],['chị họ'],['000323']
['quả dưa hấu'],['quả dưa hấu'],['000324']
['chị họ'],['chị họ'],['000325']
['quả dưa hấu'],['quả dưa hấu'],['000326']
['chị họ'],['chị họ'],['000327']
['quả dừa'],['quả dừa'],['000328']
['em họ'],['em họ'],['000329']
['quả dừa'],['quả dừa'],['000330']
['em họ'],['em họ'],['000331']
['quả dừa'],['quả dừa'],['000332']
['em họ'],['em họ'],['000333']
['quả dừa xiêm'],['quả dừa xiêm'],['000334']
['cháu họ'],['cháu họ'],['000335']
['quả dừa xiêm'],['quả dừa xiêm'],['000336']
['cháu họ'],['cháu họ'],['000337']
['quả dừa xiêm'],['quả dừa xiêm'],['000338']
['cháu họ'],['cháu họ'],['000339']
['quả đu đủ'],['quả đu đủ'],['000340']
['quả đu đủ'],['quả đu đủ'],['000341']
['sống sót'],['sống sót'],['000342']
['quả gấc'],['quả gấc'],['000343']
['sống sót'],['sống sót'],['000344']
['quả hồng'],['quả hồng'],['000345']
['sống sót'],['sống sót'],['000346']
['quả hồng xiêm'],['quả hồng xiêm'],['000347']
['thường xuyên'],['thường xuyên'],['000348']
['quả khế'],['quả khế'],['000349']
['thường xuyên'],['thường xuyên'],['000350']
['quả khế'],['quả khế'],['000351']
['thường xuyên'],['thường xuyên'],['000352']
['quả khế'],['quả khế'],['000353']
['đi dạo'],['đi dạo'],['000354']
['quả lê'],['quả lê'],['000355']
['về (Sài Gòn)'],['về (Sài Gòn)'],['000356']
['quả mít'],['quả mít'],['000357']
['về 2 (Miền Bắc)'],['về 2 (Miền Bắc)'],['000358']
['quả mướp'],['quả mướp'],['000359']
['về 2 (Miền Bắc)'],['về 2 (Miền Bắc)'],['000360']
['quả na'],['quả na'],['000361']
['về 3 (đi về)'],['về 3 (đi về)'],['000362']
['quả nhãn'],['quả nhãn'],['000363']
['về 4 (từ nơi khác về)'],['về 4 (từ nơi khác về)'],['000364']
['quả nhãn'],['quả nhãn'],['000365']
['về 5 (về nhà)'],['về 5 (về nhà)'],['000366']
['hẹn'],['hẹn'],['000367']
['quả nhãn'],['quả nhãn'],['000368']
['hẹn'],['hẹn'],['000369']
['quả nho'],['quả nho'],['000370']
['hẹn'],['hẹn'],['000371']
['quả ổi'],['quả ổi'],['000372']
['quyến luyến'],['quyến luyến'],['000373']
['quả roi'],['quả roi'],['000374']
['hứa'],['hứa'],['000375']
['quả roi'],['quả roi'],['000376']
['hứa'],['hứa'],['000377']
['quả roi'],['quả roi'],['000378']
['hứa'],['hứa'],['000379']
['quả sầu riêng'],['quả sầu riêng'],['000380']
['lâu'],['lâu'],['000381']
['quả su su'],['quả su su'],['000382']
['lâu'],['lâu'],['000383']
['quả táo'],['quả táo'],['000384']
['mỗi ngày'],['mỗi ngày'],['000385']
['quả táo'],['quả táo'],['000386']
['mỗi ngày'],['mỗi ngày'],['000387']
['quả thanh long'],['quả thanh long'],['000388']
['mỗi ngày'],['mỗi ngày'],['000389']
['quả vải'],['quả vải'],['000390']
['hàng ngày'],['hàng ngày'],['000391']
['quả xoài'],['quả xoài'],['000392']
['hàng ngày'],['hàng ngày'],['000393']
['quá cảnh'],['quá cảnh'],['000394']
['hàng ngày'],['hàng ngày'],['000395']
['quan điểm'],['quan điểm'],['000396']
['quan hệ'],['quan hệ'],['000397']
['ăn vú sữa (bằng thìa)'],['ăn vú sữa (bằng thìa)'],['000398']
['quan tâm'],['quan tâm'],['000399']
['ăn vú sữa'],['ăn vú sữa'],['000400']
['hôi'],['hôi'],['000401']
['quan trọng'],['quan trọng'],['000402']
['quang hợp'],['quang hợp'],['000403']
['trông nhà'],['trông nhà'],['000404']
['chạy (động vật)'],['chạy (động vật)'],['000405']
['quàng khăn'],['quàng khăn'],['000406']
['Quảng Ninh'],['Quảng Ninh'],['000407']
['xe container'],['xe container'],['000408']
['bay nhanh (máy bay)'],['bay nhanh (máy bay)'],['000409']
['quát mắng'],['quát mắng'],['000410']
['chậm chạp'],['chậm chạp'],['000411']
['quạt cây'],['quạt cây'],['000412']
['ngừng lại'],['ngừng lại'],['000413']
['quay cóp'],['quay cóp'],['000414']
['dừng lại'],['dừng lại'],['000415']
['quay phim'],['quay phim'],['000416']
['quà'],['quà'],['000417']
['Quảng Nam'],['Quảng Nam'],['000418']
['thì thầm'],['thì thầm'],['000419']
['hoặc'],['hoặc'],['000420']
['Quảng Trị'],['Quảng Trị'],['000421']
['hoặc'],['hoặc'],['000422']
['quạt treo tường'],['quạt treo tường'],['000423']
['hoặc'],['hoặc'],['000424']
['quân đội'],['quân đội'],['000425']
['không muốn'],['không muốn'],['000426']
['quân đội'],['quân đội'],['000427']
['không muốn'],['không muốn'],['000428']
['quần âu'],['quần âu'],['000429']
['không muốn'],['không muốn'],['000430']
['quần bò'],['quần bò'],['000431']
['quần bò'],['quần bò'],['000432']
['sa mạc'],['sa mạc'],['000433']
['quần bò'],['quần bò'],['000434']
['xem'],['xem'],['000435']
['quần đùi'],['quần đùi'],['000436']
['xem'],['xem'],['000437']
['quần yếm'],['quần yếm'],['000438']
['xem đã'],['xem đã'],['000439']
['mồ hôi nhễ nhại'],['mồ hôi nhễ nhại'],['000440']
['quét dọn'],['quét dọn'],['000441']
['không ngon'],['không ngon'],['000442']
['quét nhà'],['quét nhà'],['000443']
['hài lòng'],['hài lòng'],['000444']
['quê'],['quê'],['000445']
['má hồng'],['má hồng'],['000446']
['quê'],['quê'],['000447']
['ngập ngừng'],['ngập ngừng'],['000448']
['quê'],['quê'],['000449']
['nói ngập ngừng'],['nói ngập ngừng'],['000450']
['quên'],['quên'],['000451']
['quốc ca'],['quốc ca'],['000452']
['Võ Thị Sáu'],['Võ Thị Sáu'],['000453']
['mít tinh'],['mít tinh'],['000454']
['quốc gia'],['quốc gia'],['000455']
['quốc hội'],['quốc hội'],['000456']
['sụp đổ'],['sụp đổ'],['000457']
['quốc khánh'],['quốc khánh'],['000458']
['thiếu thốn'],['thiếu thốn'],['000459']
['thiếu thốn'],['thiếu thốn'],['000460']
['đề phòng'],['đề phòng'],['000461']
['quốc tế'],['quốc tế'],['000462']
['thiếu thốn'],['thiếu thốn'],['000463']
['Trần Quốc Toản'],['Trần Quốc Toản'],['000464']
['xuyên Việt'],['xuyên Việt'],['000465']
['dám làm'],['dám làm'],['000466']
['Quốc Tử Giám'],['Quốc Tử Giám'],['000467']
['không dám'],['không dám'],['000468']
['quy định'],['quy định'],['000469']
['không dám'],['không dám'],['000470']
['quy đồng mẫu số'],['quy đồng mẫu số'],['000471']
['không dám'],['không dám'],['000472']
['quy nạp'],['quy nạp'],['000473']
['phiền hà'],['phiền hà'],['000474']
['quyền lợi'],['quyền lợi'],['000475']
['quyền lợi'],['quyền lợi'],['000476']
['đèn ông sao'],['đèn ông sao'],['000477']
['quyết định'],['quyết định'],['000478']
['ung thư'],['ung thư'],['000479']
['quyết định'],['quyết định'],['000480']
['ung thư'],['ung thư'],['000481']
['quyết định'],['quyết định'],['000482']
['ung thư'],['ung thư'],['000483']
['phó hiệu trưởng'],['phó hiệu trưởng'],['000484']
['quỳ'],['quỳ'],['000485']
['phó hiệu trưởng'],['phó hiệu trưởng'],['000486']
['quý hiếm'],['quý hiếm'],['000487']
['phó hiệu trưởng'],['phó hiệu trưởng'],['000488']
['quyển vở'],['quyển vở'],['000489']
['quyển vở'],['quyển vở'],['000490']
['Ô-lim-píc'],['Ô-lim-píc'],['000491']
['quyển vở'],['quyển vở'],['000492']
['vòng nguyệt quế'],['vòng nguyệt quế'],['000493']
['hữu nghị'],['hữu nghị'],['000494']
['quyết tâm'],['quyết tâm'],['000495']
['bắn cung tên'],['bắn cung tên'],['000496']
['quyết tâm'],['quyết tâm'],['000497']
['mũi tên'],['mũi tên'],['000498']
['quyết tâm'],['quyết tâm'],['000499']
['Mã Lai (nước Ma-lai-xi-a)'],['Mã Lai (nước Ma-lai-xi-a)'],['000500']
['ra lệnh'],['ra lệnh'],['000501']
['Mã Lai (nước Ma-lai-xi-a)'],['Mã Lai (nước Ma-lai-xi-a)'],['000502']
['ra ngoài'],['ra ngoài'],['000503']
['Mã Lai (nước Ma-lai-xi-a)'],['Mã Lai (nước Ma-lai-xi-a)'],['000504']
['ra ngoài'],['ra ngoài'],['000505']
['ra ngoài'],['ra ngoài'],['000506']
['số La Mã (Toán học)'],['số La Mã (Toán học)'],['000507']
['Long Vương'],['Long Vương'],['000508']
['rạp chiếu phim'],['rạp chiếu phim'],['000509']
['rau'],['rau'],['000510']
['đàng hoàng'],['đàng hoàng'],['000511']
['phân vân'],['phân vân'],['000512']
['rau bắp cải'],['rau bắp cải'],['000513']
['lau miệng'],['lau miệng'],['000514']
['rau cải'],['rau cải'],['000515']
['chó cắn'],['chó cắn'],['000516']
['rau cải thảo'],['rau cải thảo'],['000517']
['mèo cào'],['mèo cào'],['000518']
['rau dền'],['rau dền'],['000519']
['quan hệ từ'],['quan hệ từ'],['000520']
['rau mùng tơi'],['rau mùng tơi'],['000521']
['rau ngót'],['rau ngót'],['000522']
['yêu nước Việt Nam'],['yêu nước Việt Nam'],['000523']
['quan (chức vụ)'],['quan (chức vụ)'],['000524']
['rằm trung thu'],['rằm trung thu'],['000525']
['rằm trung thu'],['rằm trung thu'],['000526']
['đi tuần'],['đi tuần'],['000527']
['rằm trung thu'],['rằm trung thu'],['000528']
['vỗ về'],['vỗ về'],['000529']
['hốt hoảng'],['hốt hoảng'],['000530']
['răng'],['răng'],['000531']
['chuyện nhỏ'],['chuyện nhỏ'],['000532']
['răng cưa'],['răng cưa'],['000533']
['bất khuất'],['bất khuất'],['000534']
['râu'],['râu'],['000535']
['nhưng'],['nhưng'],['000536']
['rẽ phải'],['rẽ phải'],['000537']
['nhưng'],['nhưng'],['000538']
['rèn sắt'],['rèn sắt'],['000539']
['nhưng'],['nhưng'],['000540']
['rèn luyện'],['rèn luyện'],['000541']
['hay là (hoặc là)'],['hay là (hoặc là)'],['000542']
['rễ cọc'],['rễ cọc'],['000543']
['hay là (hoặc là)'],['hay là (hoặc là)'],['000544']
['rế'],['rế'],['000545']
['hay là (hoặc là)'],['hay là (hoặc là)'],['000546']
['riêng biệt'],['riêng biệt'],['000547']
['riêng tư'],['riêng tư'],['000548']
['Thăng Long'],['Thăng Long'],['000549']
['dãy núi Hoàng Liên Sơn'],['dãy núi Hoàng Liên Sơn'],['000550']
['rình mò'],['rình mò'],['000551']
['quanh năm'],['quanh năm'],['000552']
['rìu'],['rìu'],['000553']
['gấp đôi'],['gấp đôi'],['000554']
['rõ ràng'],['rõ ràng'],['000555']
['gấp ba'],['gấp ba'],['000556']
['rõ ràng'],['rõ ràng'],['000557']
['chia đôi'],['chia đôi'],['000558']
['róc rách'],['róc rách'],['000559']
['chia đôi'],['chia đôi'],['000560']
['rón rén'],['rón rén'],['000561']
['chia đôi'],['chia đôi'],['000562']
['rong biển'],['rong biển'],['000563']
['chia ba'],['chia ba'],['000564']
['rong chơi'],['rong chơi'],['000565']
['chia ba'],['chia ba'],['000566']
['rong chơi'],['rong chơi'],['000567']
['rong chơi'],['rong chơi'],['000568']
['đại sứ'],['đại sứ'],['000569']
['cảnh giác'],['cảnh giác'],['000570']
['rổ'],['rổ'],['000571']
['giám sát'],['giám sát'],['000572']
['rộng lớn'],['rộng lớn'],['000573']
['quan sát'],['quan sát'],['000574']
['rộng rãi'],['rộng rãi'],['000575']
['rụng tóc (đt)'],['rụng tóc (đt)'],['000576']
['ăn vụng'],['ăn vụng'],['000577']
['ruộng bậc thang'],['ruộng bậc thang'],['000578']
['xảy ra'],['xảy ra'],['000579']
['dự án'],['dự án'],['000580']
['ruột già'],['ruột già'],['000581']
['ruột non'],['ruột non'],['000582']
['đầu tư'],['đầu tư'],['000583']
['năn nỉ'],['năn nỉ'],['000584']
['rút gọn'],['rút gọn'],['000585']
['háo hức'],['háo hức'],['000586']
['rút gọn phân số'],['rút gọn phân số'],['000587']
['rắc rối'],['rắc rối'],['000588']
['rửa bát'],['rửa bát'],['000589']
['rửa chân'],['rửa chân'],['000590']
['tải về'],['tải về'],['000591']
['nhõng nhẽo'],['nhõng nhẽo'],['000592']
['rửa mặt'],['rửa mặt'],['000593']
['rửa tay'],['rửa tay'],['000594']
['đen đủi'],['đen đủi'],['000595']
['rừng núi'],['rừng núi'],['000596']
['xui xẻo'],['xui xẻo'],['000597']
['long lanh (mắt)'],['long lanh (mắt)'],['000598']
['rừng rậm'],['rừng rậm'],['000599']
['dỗi'],['dỗi'],['000600']
['rừng thưa'],['rừng thưa'],['000601']
